,nome,link,indirizzo,sito,facebook,telefono
0,Ohima' Restaurant,https://www.tripadvisor.it/Restaurant_Review-g194863-d14098781-Reviews-Ohima_Restaurant-Positano_Amalfi_Coast_Province_of_Salerno_Campania.html,"Via Cristoforo Colombo, 17 Piazza dei Mulini, 84017, Positano Italia",,,
1,"Baglio Amalfi Italian Bistrò Cucina, Vino & Drinks",https://www.tripadvisor.it/Restaurant_Review-g187780-d4611345-Reviews-Baglio_Amalfi_Italian_Bistro_Cucina_Vino_Drinks-Amalfi_Amalfi_Coast_Province_of_S.html,"Via Giovanni Augustariccio 82, 84011, Amalfi Italia",,,
2,La Rua Pizze E Delizie,https://www.tripadvisor.it/Restaurant_Review-g187780-d15033609-Reviews-La_Rua_Pizze_E_Delizie-Amalfi_Amalfi_Coast_Province_of_Salerno_Campania.html,"Supportico Rua, 6, 84011, Amalfi Italia",,,
3,Hostaria Acquolina,https://www.tripadvisor.it/Restaurant_Review-g187780-d17487301-Reviews-Hostaria_Acquolina-Amalfi_Amalfi_Coast_Province_of_Salerno_Campania.html,"Via Vagno 4, 84011, Amalfi Italia",,,
4,Pizza Express Amalfi,https://www.tripadvisor.it/Restaurant_Review-g187780-d6591297-Reviews-Pizza_Express_Amalfi-Amalfi_Amalfi_Coast_Province_of_Salerno_Campania.html,"Via Pietro Capuano 46, 84011, Amalfi Italia",,,
5,Da Ciccio Cielo Mare E Terra,https://www.tripadvisor.it/Restaurant_Review-g187780-d1034456-Reviews-Da_Ciccio_Cielo_Mare_E_Terra-Amalfi_Amalfi_Coast_Province_of_Salerno_Campania.html,"Via Giovanni Augustariccio, 21 Via Nazionale per Sorrento, 84011, Amalfi Italia",,,
6,Adamo ed Eva by Eden Roc,https://www.tripadvisor.it/Restaurant_Review-g194863-d3168945-Reviews-Adamo_ed_Eva_by_Eden_Roc-Positano_Amalfi_Coast_Province_of_Salerno_Campania.html,"Via G. Marconi 110, 84017, Positano Italia",,,
7,Agricola Fore Porta,https://www.tripadvisor.it/Restaurant_Review-g187780-d10231014-Reviews-Agricola_Fore_Porta-Amalfi_Amalfi_Coast_Province_of_Salerno_Campania.html,"Via Paradiso Valle delle Ferriere; raggiungibile solo a piedi ; è consigliata la prenotazione; aperti a pranzo., 84011, Amalfi Italia",http://www.agriturismoamalfi.it,, 339 243 6450
8,Sensi Restaurant,https://www.tripadvisor.it/Restaurant_Review-g187780-d12535651-Reviews-Sensi_Restaurant-Amalfi_Amalfi_Coast_Province_of_Salerno_Campania.html,"Via Pietro Comite, 4, 84011, Amalfi Italia",,,
9,Shabu Amalfi,https://www.tripadvisor.it/Restaurant_Review-g187780-d12666402-Reviews-Shabu_Amalfi-Amalfi_Amalfi_Coast_Province_of_Salerno_Campania.html,"Largo della Zecca 3, 84011, Amalfi Italia",,,
10,Ristorante Taverna Buonvicino,https://www.tripadvisor.it/Restaurant_Review-g187780-d1587452-Reviews-Taverna_Buonvicino-Amalfi_Amalfi_Coast_Province_of_Salerno_Campania.html,"Largo Santa Maria Maggiore, 1/3 Siamo tra i vicoli adiacenti la Piazza Duomo, 84011, Amalfi Italia",,,
11,Pastificio Cuomo,https://www.tripadvisor.it/Restaurant_Review-g1149890-d12594233-Reviews-Pastificio_Cuomo-Gragnano_Province_of_Naples_Campania.html,"Via Roma 33, 80054 Gragnano Italia",http://pastacuomo.com,, 081 060 1402
12,Gerry's Pub,https://www.tripadvisor.it/Restaurant_Review-g187780-d3984218-Reviews-Gerry_s_Pub-Amalfi_Amalfi_Coast_Province_of_Salerno_Campania.html,"Piazza G. Amodio, 3, 84011, Amalfi Italia",,,
13,Taverna degli Apostoli,https://www.tripadvisor.it/Restaurant_Review-g187780-d1437293-Reviews-Taverna_degli_Apostoli-Amalfi_Amalfi_Coast_Province_of_Salerno_Campania.html,"Piazza del Duomo, Amalfi Italia",,,
14,Ristorante Savo,https://www.tripadvisor.it/Restaurant_Review-g635619-d4136285-Reviews-Ristorante_Savo-Atrani_Amalfi_Coast_Province_of_Salerno_Campania.html,"Supportico Marinella, 6 Piazza, 84010 Atrani Italia",http://www.ristorantesavo.it,, 089 872712
15,Al Cancelletto,https://www.tripadvisor.it/Restaurant_Review-g187780-d4310084-Reviews-Al_Cancelletto-Amalfi_Amalfi_Coast_Province_of_Salerno_Campania.html,"Piazza dei Dogi 11, 84011, Amalfi Italia",,,
16,La Capannina,https://www.tripadvisor.it/Restaurant_Review-g187780-d1532587-Reviews-La_Capannina-Amalfi_Amalfi_Coast_Province_of_Salerno_Campania.html,"salita per pogerola 10, 84010, Amalfi Italia",,,
17,Ristorante Marina Grande,https://www.tripadvisor.it/Restaurant_Review-g187780-d1186618-Reviews-Restaurant_Marina_Grande-Amalfi_Amalfi_Coast_Province_of_Salerno_Campania.html,"Viale della Regione, 4, 84011, Amalfi Italia",,,
18,"Ristorante ""Il Mulino""",https://www.tripadvisor.it/Restaurant_Review-g187780-d1111759-Reviews-Ristorante_Il_Mulino-Amalfi_Amalfi_Coast_Province_of_Salerno_Campania.html,"Via delle Cartiere 36, 84011, Amalfi Italia",,,
19,La Carcara,https://www.tripadvisor.it/Restaurant_Review-g187780-d1866981-Reviews-La_Carcara-Amalfi_Amalfi_Coast_Province_of_Salerno_Campania.html,"Via Castello 1 via castello N1, 84011, Amalfi Italia",,,
20,"""Al Pesce D'Oro""",https://www.tripadvisor.it/Restaurant_Review-g187780-d743359-Reviews-Al_Pesce_D_Oro_1959_Amalfi-Amalfi_Amalfi_Coast_Province_of_Salerno_Campania.html,"Via Giovanni Agustariccio 56, 84011, Amalfi Italia",,,
21,Trattoria Da Maria,https://www.tripadvisor.it/Restaurant_Review-g187780-d1111757-Reviews-Trattoria_Da_Maria-Amalfi_Amalfi_Coast_Province_of_Salerno_Campania.html,"Via Lorenzo D'amalfi 14, 84011, Amalfi Italia",,,
22,Antica Trattoria Barracca,https://www.tripadvisor.it/Restaurant_Review-g187780-d1136604-Reviews-Antica_Trattoria_Barracca-Amalfi_Amalfi_Coast_Province_of_Salerno_Campania.html,"Piazza Dei Dogi 12, 84011, Amalfi Italia",,,
23,Mistral,https://www.tripadvisor.it/Restaurant_Review-g635619-d2199154-Reviews-Mistral-Atrani_Amalfi_Coast_Province_of_Salerno_Campania.html,"Piazza Umberto Primo 1, 84010 Atrani Italia",http://www.ristorantemistralatrani.it,, 089 872827
24,Da Gemma,https://www.tripadvisor.it/Restaurant_Review-g187780-d1028401-Reviews-Da_Gemma-Amalfi_Amalfi_Coast_Province_of_Salerno_Campania.html,"Via Fra Gerardo Sasso,11, 84011, Amalfi Italia",,,
25,Le Palme Ristorante Pizzeria,https://www.tripadvisor.it/Restaurant_Review-g635619-d1473698-Reviews-Le_Palme_Ristorante_Pizzeria-Atrani_Amalfi_Coast_Province_of_Salerno_Campania.html,"Via Supportico Marinella 10 a 20 mt Dal Mare e 20 mt Dalla Piazza Centrale, 84010 Atrani Italia",http://www.amalfiholidaylepalme.com,, 339 822 2576
26,Silver Moon,https://www.tripadvisor.it/Restaurant_Review-g187780-d2355501-Reviews-Silver_Moon-Amalfi_Amalfi_Coast_Province_of_Salerno_Campania.html,"Viale della Regione, 6, 84011, Amalfi Italia",,,
27,A. Paranza,https://www.tripadvisor.it/Restaurant_Review-g635619-d1034462-Reviews-A_Paranza-Atrani_Amalfi_Coast_Province_of_Salerno_Campania.html,"Traversa Dragone 1, 84010 Atrani Italia",http://www.ristoranteparanza.com,, 089 871840
28,Pizzeria Donna Stella,https://www.tripadvisor.it/Restaurant_Review-g187780-d1136606-Reviews-Pizzeria_Donna_Stella-Amalfi_Amalfi_Coast_Province_of_Salerno_Campania.html,"Salita Rascica 2, 84011, Amalfi Italia",,,
29,Ristorante La Piazzetta,https://www.tripadvisor.it/Restaurant_Review-g187780-d2183079-Reviews-Ristorante_La_Piazzetta-Amalfi_Amalfi_Coast_Province_of_Salerno_Campania.html,"Piazza dei Dogi, 7, 84011, Amalfi Italia",,,
30,Il veliero Atrani,https://www.tripadvisor.it/Restaurant_Review-g635619-d4275023-Reviews-Il_veliero_Atrani-Atrani_Amalfi_Coast_Province_of_Salerno_Campania.html,"Piazza Umberto i, Atrani Italia",,https://www.facebook.com/pages/Ristorante-il-Veliero-costa-dAmalfi/265045260194580?id=265045260194580&sk=inf, 089 229554
31,Ristorante la Perla,https://www.tripadvisor.it/Restaurant_Review-g187780-d20992024-Reviews-Ristorante_la_Perla-Amalfi_Amalfi_Coast_Province_of_Salerno_Campania.html,"Salita Truglio 5 Salita Truglio, 5, 84011, Amalfi Italia",,,
32,Adamo ed Eva by Eden Roc,https://www.tripadvisor.it/Restaurant_Review-g194863-d3168945-Reviews-Adamo_ed_Eva_by_Eden_Roc-Positano_Amalfi_Coast_Province_of_Salerno_Campania.html,"Via G. Marconi 110, 84017, Positano Italia",,,
33,Locanda del Marinaio,https://www.tripadvisor.it/Restaurant_Review-g187780-d1604280-Reviews-Locanda_del_Marinaio-Amalfi_Amalfi_Coast_Province_of_Salerno_Campania.html,"Via Lorenzo d'Amalfi 20 Practically at the end of the main square, 84011, Amalfi Italia",,,
34,Ristorante Il Tari,https://www.tripadvisor.it/Restaurant_Review-g187780-d1087205-Reviews-Ristorante_Il_Tari-Amalfi_Amalfi_Coast_Province_of_Salerno_Campania.html,"Via Pietro Capuano 9-11, 84011, Amalfi Italia",,,
35,Santa Caterina Al Mare Restaurant,https://www.tripadvisor.it/Restaurant_Review-g187780-d1123590-Reviews-Santa_Caterina_Al_Mare_Restaurant-Amalfi_Amalfi_Coast_Province_of_Salerno_Campani.html,"S.S. Amalfitana 9, 84011, Amalfi Italia",,,
36,Ristorante San Giovanni,https://www.tripadvisor.it/Restaurant_Review-g580208-d1500566-Reviews-Ristorante_San_Giovanni-Scala_Amalfi_Coast_Province_of_Salerno_Campania.html,"Via Raffaele di Palma, 2, 84010 Scala Italia",http://www.ristorantesangiovanni.com,, 089 872582
37,Il Flauto di Pan,https://www.tripadvisor.it/Restaurant_Review-g194873-d2218186-Reviews-Il_Flauto_di_Pan-Ravello_Amalfi_Coast_Province_of_Salerno_Campania.html,"Via Santa Chiara 26, 84010, Ravello Italia",http://www.hotelvillacimbrone.com/il-flauto-di-pan/#flauto-di-pa,, 089 857459
38,Pastificio Cuomo,https://www.tripadvisor.it/Restaurant_Review-g1149890-d12594233-Reviews-Pastificio_Cuomo-Gragnano_Province_of_Naples_Campania.html,"Via Roma 33, 80054 Gragnano Italia",http://pastacuomo.com,, 081 060 1402
39,Da Gemma - La cantina,https://www.tripadvisor.it/Restaurant_Review-g187780-d14971448-Reviews-Da_Gemma_La_cantina-Amalfi_Amalfi_Coast_Province_of_Salerno_Campania.html,"Piazza Dei Dogi 7, 84011, Amalfi Italia",,,
40,Ristorante Il Chiostro,https://www.tripadvisor.it/Restaurant_Review-g187780-d1216111-Reviews-Ristorante_Il_Chiostro-Amalfi_Amalfi_Coast_Province_of_Salerno_Campania.html,"Via Dei Prefetturi 2, 84011, Amalfi Italia",,,
41,Lido Degli Artisti,https://www.tripadvisor.it/Restaurant_Review-g187780-d4543923-Reviews-Lido_Degli_Artisti-Amalfi_Amalfi_Coast_Province_of_Salerno_Campania.html,"Via Mauro Comite 32 spiaggia Duoglio, 84011, Amalfi Italia",,,
42,Mimì Ristorante Pizzeria,https://www.tripadvisor.it/Restaurant_Review-g194873-d7067960-Reviews-Mimi_Ristorante_Pizzeria-Ravello_Amalfi_Coast_Province_of_Salerno_Campania.html,"via San Francesco 12, 84010, Ravello Italia",http://www.mimiravello.com,, 089 857134
43,Ristorante La Caravella dal 1959,https://www.tripadvisor.it/Restaurant_Review-g187780-d743360-Reviews-La_Caravella_dal_1959-Amalfi_Amalfi_Coast_Province_of_Salerno_Campania.html,"Via Matteo Camera 12, 84011, Amalfi Italia",,,
44,Ohima' Restaurant,https://www.tripadvisor.it/Restaurant_Review-g194863-d14098781-Reviews-Ohima_Restaurant-Positano_Amalfi_Coast_Province_of_Salerno_Campania.html,"Via Cristoforo Colombo, 17 Piazza dei Mulini, 84017, Positano Italia",,,
45,Nino's Pizza,https://www.tripadvisor.it/Restaurant_Review-g194873-d10592104-Reviews-Nino_s_Pizza-Ravello_Amalfi_Coast_Province_of_Salerno_Campania.html,"Viale Parco della Rimembranza, 3, 84010, Ravello Italia",,https://www.facebook.com/Ninos-pizza-372672589534635/?hc_ref=PAGES_TIMELINE&fref=n, 089 858 6249
46,Ristorante Gli Ulivi,https://www.tripadvisor.it/Restaurant_Review-g580208-d17424219-Reviews-Ristorante_Gli_Ulivi-Scala_Amalfi_Coast_Province_of_Salerno_Campania.html,"Piazza Minuta 1 Borgo Minuta, Amalfi Coast, 84010 Scala Italia",http://www.ristorantegliulivi.it,, 089 858366
47,La Taverna di Masaniello,https://www.tripadvisor.it/Restaurant_Review-g187780-d1544640-Reviews-La_Taverna_di_Masaniello-Amalfi_Amalfi_Coast_Province_of_Salerno_Campania.html,"Via Masaniello 14 nei pressi della piazza Dei Dogi, 84011, Amalfi Italia",,,
48,Babel Wine Bar Deli & Art,https://www.tripadvisor.it/Restaurant_Review-g194873-d7100994-Reviews-Babel_Wine_Bar_Deli_Art-Ravello_Amalfi_Coast_Province_of_Salerno_Campania.html,"Via Trinita, 13 Salerno, 84010, Ravello Italia",,http://www.facebook.com/Babel-Wine-Bar-Deli-Art-772771126117764, 379 113 8524
49,Cuoppo d'Amalfi,https://www.tripadvisor.it/Restaurant_Review-g187780-d1775666-Reviews-Cuoppo_d_Amalfi-Amalfi_Amalfi_Coast_Province_of_Salerno_Campania.html,"Via Supportico Dei Ferrari 12, 84011, Amalfi Italia",,,
50,Torre Saracena Restaurant,https://www.tripadvisor.it/Restaurant_Review-g187780-d4914923-Reviews-Torre_Saracena_Restaurant-Amalfi_Amalfi_Coast_Province_of_Salerno_Campania.html,"Via Mauro Comite 33, 84011, Amalfi Italia",,,
51,Trattoria dei Cartari,https://www.tripadvisor.it/Restaurant_Review-g187780-d1136296-Reviews-Trattoria_dei_Cartari-Amalfi_Amalfi_Coast_Province_of_Salerno_Campania.html,"Piazza Dello Spirito Santo 5, 84011, Amalfi Italia",,,
52,La Galea,https://www.tripadvisor.it/Restaurant_Review-g187780-d1520726-Reviews-La_Galea-Amalfi_Amalfi_Coast_Province_of_Salerno_Campania.html,"Via Lorenzo d'Amalfi 30, 84011, Amalfi Italia",,,
53,Ristorante Garum,https://www.tripadvisor.it/Restaurant_Review-g580202-d12321711-Reviews-Restaurant_Garum-Minori_Amalfi_Coast_Province_of_Salerno_Campania.html,"Via Alfonso Gatto, 44, 84010 Minori Italia",http://www.hotelsantalucia.it/Italia/ristorante.htm,, 089 877142
54,C.I.C.A,https://www.tripadvisor.it/Restaurant_Review-g187780-d6696810-Reviews-C_I_C_A-Amalfi_Amalfi_Coast_Province_of_Salerno_Campania.html,"Via Pietro Capuano 17, 84011, Amalfi Italia",,,
55,Ristorante Lido Azzurro,https://www.tripadvisor.it/Restaurant_Review-g187780-d1792198-Reviews-Lido_Azzurro_Ristorante-Amalfi_Amalfi_Coast_Province_of_Salerno_Campania.html,"Via Lungomare dei Cavalieri, 5, 84011, Amalfi Italia",,,
56,Stella Maris,https://www.tripadvisor.it/Restaurant_Review-g187780-d1111680-Reviews-Stella_Maris-Amalfi_Amalfi_Coast_Province_of_Salerno_Campania.html,"Corso delle Repubbliche Marinare 2, 84011, Amalfi Italia",,,
57,G.A.S. Bar,https://www.tripadvisor.it/Restaurant_Review-g187780-d3223907-Reviews-G_A_S_Bar-Amalfi_Amalfi_Coast_Province_of_Salerno_Campania.html,"Via Mauro Comite 47/49, 84011, Amalfi Italia",,,
58,L'Antica Cartiera,https://www.tripadvisor.it/Restaurant_Review-g194873-d3259230-Reviews-L_Antica_Cartiera-Ravello_Amalfi_Coast_Province_of_Salerno_Campania.html,"Via Marmorata 4, 84010, Ravello Italia",http://www.ristorantelanticacartiera.it,, 089 877777
